alpha,ckpt_epoch,effective_rank,job_dir,l2_01_mean,l2_01_median,l2_01_p25,l2_01_p75,l2_12_mean,l2_12_median,l2_12_p25,l2_12_p75,label,lpips_01_mean,lpips_01_median,lpips_01_p25,lpips_01_p75,lpips_12_mean,lpips_12_median,lpips_12_p25,lpips_12_p75,nn_angle_mean_deg,nn_angle_median_deg,nn_angle_p25_deg,nn_angle_p75_deg,pairwise_angle_mean_deg,pairwise_angle_std_deg,stage
80,ep0074,788.5219893448916,sphere-small-small-cifar-10-32px-a80-pilot,,,,,,,,,a80_full_ep74,,,,,,,,,83.70807647705078,83.85034942626953,83.27885437011719,84.26460266113281,89.92049407958984,1.3061436414718628,preterminal
80,ep0074,290.0766025401331,sphere-small-small-cifar-10-32px-a80-pilot,,,,,,,,,a80_full_ep74,,,,,,,,,70.82708740234375,71.87850952148438,68.88011932373047,73.8908920288086,80.26866912841797,4.358028888702393,terminal1
80,ep0074,296.4698576783305,sphere-small-small-cifar-10-32px-a80-pilot,,,,,,,,,a80_full_ep74,,,,,,,,,67.22491455078125,68.07427978515625,64.66532135009766,70.52987670898438,71.73269653320312,4.476998805999756,terminal2
,ep0074,,sphere-small-small-cifar-10-32px-a80-pilot,0.06185934692621231,0.057942673563957214,0.04315940663218498,0.07574287801980972,0.015582223422825336,0.014897864311933517,0.011287201195955276,0.019007306545972824,a80_full_ep74,0.0992288887500763,0.0958029106259346,0.07811658829450607,0.1170482337474823,0.07979078590869904,0.07632499933242798,0.0581788495182991,0.09866047650575638,,,,,,,cycle_delta
80,ep0074,789.4203805850698,sphere-small-small-cifar-10-32px-a80-no-lat-con-causal,,,,,,,,,a80_no_lat_con_ep74,,,,,,,,,83.82658386230469,83.95128631591797,83.32213592529297,84.46669006347656,89.90206146240234,1.3031724691390991,preterminal
80,ep0074,314.2768173208924,sphere-small-small-cifar-10-32px-a80-no-lat-con-causal,,,,,,,,,a80_no_lat_con_ep74,,,,,,,,,68.41242980957031,69.45488739013672,65.25370788574219,72.56367492675781,78.86479187011719,5.002233982086182,terminal1
80,ep0074,286.2670743334483,sphere-small-small-cifar-10-32px-a80-no-lat-con-causal,,,,,,,,,a80_no_lat_con_ep74,,,,,,,,,63.346099853515625,63.749961853027344,60.28677749633789,67.24368286132812,68.37969970703125,5.504064083099365,terminal2
,ep0074,,sphere-small-small-cifar-10-32px-a80-no-lat-con-causal,0.06474341452121735,0.06317287683486938,0.047811318188905716,0.07872100174427032,0.015778949484229088,0.015283804386854172,0.011513130739331245,0.019426092505455017,a80_no_lat_con_ep74,0.1122329831123352,0.10974613577127457,0.0894986018538475,0.13288503885269165,0.08689264208078384,0.08273543417453766,0.06556576490402222,0.10520729422569275,,,,,,,cycle_delta
80,ep0074,784.7028708308683,sphere-small-small-cifar-10-32px-a80-no_pix_con-causal,,,,,,,,,a80_no_pix_con_ep74,,,,,,,,,83.197265625,83.33573913574219,82.64891815185547,83.82685089111328,89.89514923095703,1.3268306255340576,preterminal
80,ep0074,149.45148664036714,sphere-small-small-cifar-10-32px-a80-no_pix_con-causal,,,,,,,,,a80_no_pix_con_ep74,,,,,,,,,62.389034271240234,62.957763671875,59.12806701660156,66.10177612304688,70.2879409790039,6.764702796936035,terminal1
80,ep0074,136.4113786706461,sphere-small-small-cifar-10-32px-a80-no_pix_con-causal,,,,,,,,,a80_no_pix_con_ep74,,,,,,,,,53.967864990234375,54.0683479309082,51.81428527832031,56.360225677490234,43.7384147644043,5.83329963684082,terminal2
,ep0074,,sphere-small-small-cifar-10-32px-a80-no_pix_con-causal,0.05416998267173767,0.05336129665374756,0.03984077647328377,0.06641842424869537,0.01640082150697708,0.016269734129309654,0.01175495982170105,0.020344316959381104,a80_no_pix_con_ep74,0.11330112814903259,0.1119658350944519,0.09313800930976868,0.1327010989189148,0.08033456653356552,0.07753084599971771,0.0552690215408802,0.10209907591342926,,,,,,,cycle_delta
80,ep0074,785.7156685584773,sphere-small-small-cifar-10-32px-a80-recon_only-causal,,,,,,,,,a80_recon_only_ep74,,,,,,,,,82.96015167236328,83.09652709960938,82.39344787597656,83.63935852050781,89.81995391845703,1.327430009841919,preterminal
80,ep0074,172.09431659727593,sphere-small-small-cifar-10-32px-a80-recon_only-causal,,,,,,,,,a80_recon_only_ep74,,,,,,,,,63.08036804199219,63.785560607910156,60.05149459838867,67.1817626953125,74.61177062988281,6.41342830657959,terminal1
80,ep0074,167.1026004793848,sphere-small-small-cifar-10-32px-a80-recon_only-causal,,,,,,,,,a80_recon_only_ep74,,,,,,,,,59.599979400634766,60.244354248046875,56.034454345703125,63.675132751464844,63.62056350708008,6.419054985046387,terminal2
,ep0074,,sphere-small-small-cifar-10-32px-a80-recon_only-causal,0.06349477171897888,0.06048627942800522,0.043608248233795166,0.07929478585720062,0.01389223150908947,0.013309115543961525,0.009649463929235935,0.017334256321191788,a80_recon_only_ep74,0.1199595034122467,0.11817628890275955,0.09896283596754074,0.14166629314422607,0.07610628753900528,0.07088713347911835,0.055296652019023895,0.0916084349155426,,,,,,,cycle_delta
83,ep0074,791.6587595059765,sphere-small-small-cifar-10-32px-a83-pilot,,,,,,,,,a83_full_ep74,,,,,,,,,83.80176544189453,83.90589141845703,83.27243041992188,84.44227600097656,89.90218353271484,1.2924046516418457,preterminal
83,ep0074,192.4613442952181,sphere-small-small-cifar-10-32px-a83-pilot,,,,,,,,,a83_full_ep74,,,,,,,,,61.643592834472656,62.67720031738281,58.09945297241211,66.34523010253906,72.87146759033203,6.597911834716797,terminal1
83,ep0074,189.33309326601784,sphere-small-small-cifar-10-32px-a83-pilot,,,,,,,,,a83_full_ep74,,,,,,,,,55.794071197509766,56.191932678222656,51.75403594970703,60.128726959228516,59.1452522277832,6.714081764221191,terminal2
,ep0074,,sphere-small-small-cifar-10-32px-a83-pilot,0.06253001093864441,0.059315942227840424,0.043934520334005356,0.07695246487855911,0.01581583544611931,0.015237636864185333,0.011389128863811493,0.01932573691010475,a83_full_ep74,0.1159345805644989,0.11429136246442795,0.09428896009922028,0.13533739745616913,0.08938921988010406,0.08579663932323456,0.06713929772377014,0.10791623592376709,,,,,,,cycle_delta
85,ep0024,793.6294532094729,sphere-small-small-cifar-10-32px-a85-pilot,,,,,,,,,a85_full_ep24,,,,,,,,,84.0713882446289,84.13418579101562,83.65100860595703,84.57170104980469,89.94010925292969,1.283133864402771,preterminal
85,ep0024,113.50737243906019,sphere-small-small-cifar-10-32px-a85-pilot,,,,,,,,,a85_full_ep24,,,,,,,,,54.00004577636719,54.98166275024414,49.6998176574707,59.27238845825195,66.81731414794922,8.87249755859375,terminal1
85,ep0024,125.7616257593391,sphere-small-small-cifar-10-32px-a85-pilot,,,,,,,,,a85_full_ep24,,,,,,,,,40.120750427246094,40.01017761230469,37.25908660888672,42.59838104248047,37.947322845458984,5.824633598327637,terminal2
,ep0024,,sphere-small-small-cifar-10-32px-a85-pilot,0.05686674639582634,0.05458451807498932,0.03700776770710945,0.07358285039663315,0.016762930899858475,0.016450945287942886,0.012947889044880867,0.02006986178457737,a85_full_ep24,0.1271764039993286,0.12596184015274048,0.10453328490257263,0.14762593805789948,0.14503122866153717,0.13433721661567688,0.10588383674621582,0.176815927028656,,,,,,,cycle_delta
