job_dir,alpha,ckpt_epoch,cfg,cfg_position,cache_sampling_noise,use_sampling_scheduler,use_ema,mode,noise_scaler,tau_deg,kappa_mean,kappa_std,angle_in_mean_deg,angle_out_mean_deg,capture_mass
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,5.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,10.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,20.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.00634765625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,30.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.298828125
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,45.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,0.99951171875
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.25,60.0,0.5839386582374573,0.0794910416007042,54.811912536621094,32.01194381713867,1.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,5.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,10.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,20.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,30.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.009765625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,45.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.32568359375
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.5,60.0,0.6726194024085999,0.08866998553276062,70.540283203125,47.46015167236328,0.984375
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,5.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,10.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,20.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,30.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0009765625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,45.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.0546875
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,0.75,60.0,0.7388964295387268,0.08632057905197144,76.7518539428711,56.72987365722656,0.666015625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,5.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,10.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,20.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,30.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.0
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,45.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.0166015625
sphere-small-small-cifar-10-32px-a80-pilot,80,ep0024,1.0,combo,False,False,False,contraction,1.0,60.0,0.7862505316734314,0.08273470401763916,80.00987243652344,62.92950439453125,0.30322265625
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,5.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,10.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,20.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,0.001953125
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,30.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,0.06396484375
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,45.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,0.89013671875
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.25,60.0,0.6042227149009705,0.08394069224596024,63.853946685791016,38.58747482299805,1.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,5.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,10.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,20.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,30.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.00244140625
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,45.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.10498046875
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.5,60.0,0.7097030878067017,0.08940541744232178,76.23896789550781,54.12554168701172,0.79345703125
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,5.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,10.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,20.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,30.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.00048828125
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,45.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.02490234375
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,0.75,60.0,0.7719191908836365,0.08963823318481445,80.6615982055664,62.291770935058594,0.337890625
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,5.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,10.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,20.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,30.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.0
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,45.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.00634765625
sphere-small-small-cifar-10-32px-a83-pilot,83,ep0024,1.0,combo,False,False,False,contraction,1.0,60.0,0.8155016303062439,0.08404972404241562,83.03925323486328,67.74971008300781,0.1396484375
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,5.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,10.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,20.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,30.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.0244140625
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,45.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.60302734375
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.25,60.0,0.6101783514022827,0.08383429795503616,70.65703582763672,43.12384033203125,0.99951171875
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,5.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,10.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,20.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,30.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.00048828125
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,45.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.0703125
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.5,60.0,0.7128608226776123,0.09044967591762543,80.00183868408203,57.048736572265625,0.63134765625
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,5.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,10.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,20.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,30.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,45.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.02490234375
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,0.75,60.0,0.7688904404640198,0.09301912039518356,83.32342529296875,64.0987319946289,0.27490234375
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,5.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,10.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,20.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,30.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.0
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,45.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.0087890625
sphere-small-small-cifar-10-32px-a85-pilot,85,ep0024,1.0,combo,False,False,False,contraction,1.0,60.0,0.8071805834770203,0.09187004715204239,84.97377014160156,68.63160705566406,0.14111328125
