task_mode,use_ema,seed_sampling,use_sampling_scheduler,cache_sampling_noise,fid_stats_used_from,image_size,num_imgs,fid,isc_mean,isc_std,forward_steps,cfg_eval,cfg_position,ckpt_epoch_eval,timestamp,source_file,job_dir,sweep_name,tag,alpha,variant,ckpt_epoch_probe,cfg_probe,mode,tau_deg,terminal_angle_mean_deg,terminal_angle_std_deg,capture_mass,curvature_mean_deg,path_length_mean_deg,probe_file,train_log_path,train_loss,train_lr,train_epoch,train_step,train_total_loss,train_dist_loss,train_perc_loss,train_dist_psnr,train_pix_con_dist_loss,train_pix_con_dist_psnr,train_pix_con_perc_loss,train_lat_con_loss,train_avg_mag_z,train_std_mag_z,train_avg_r_NOISY,train_std_r_NOISY,train_x_std_decoder,train_grad_norm
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,1.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,2.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,5.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,1.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,2.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
reconstruction,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:54:58,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_rec_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,5.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,1.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,2.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,5.0,89.98260498046875,1.1539337635040283,0.0,0.0,89.98260498046875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,1.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,2.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,1,1,combo,ep0000,2026-03-17 19:55:01,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,5.0,89.86837005615234,1.1745631694793701,0.0,0.0,89.86837005615234,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,4,1,combo,ep0000,2026-03-17 19:55:05,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,1.0,80.087890625,1.297714114189148,0.0,120.66362762451172,346.2176208496094,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,4,1,combo,ep0000,2026-03-17 19:55:05,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,2.0,80.087890625,1.297714114189148,0.0,120.66362762451172,346.2176208496094,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,4,1,combo,ep0000,2026-03-17 19:55:05,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a80-smoke,cifar10_alpha_smoke,smoke,80,full,ep0000,1.0,prior,5.0,80.087890625,1.297714114189148,0.0,120.66362762451172,346.2176208496094,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a80-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,5e-05,12.96366,0.1332,0.50781,0.39453,1.11719,10.6702
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,4,1,combo,ep0000,2026-03-17 19:55:05,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,1.0,82.91349029541016,1.2616184949874878,0.0,120.65077209472656,351.15887451171875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
generation,false,False,false,false,extr,32,80,497.319,1,7.02862e-07,4,1,combo,ep0000,2026-03-17 19:55:05,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/eval/eval_tabl_ep0000_gen_ema=False.txt,sphere-base-base-cifar-10-32px-a83-smoke,cifar10_alpha_smoke,smoke,83,full,ep0000,1.0,prior,2.0,82.91349029541016,1.2616184949874878,0.0,120.65077209472656,351.15887451171875,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/research/probe_ckpt=ep0000_cfg=1.0-combo_sched=False_cache=False_ema=False.json,/home/cvrt/Desktop/dev/sphere-encoder-basin-lab/workspace/experiments/sphere-base-base-cifar-10-32px-a83-smoke/log.jsonl,0.89028,0.0,0.0,60.0,0.89028,0.02649,0.86373,15.76895,0.0,inf,0.0,6e-05,12.84322,0.13479,0.50781,0.39453,1.11719,11.13935
